substack_filename,matched_episode_title,matched_episode_url,matched_type,match_score,match_method,word_count,text_cache_file
10 Things Worth More Than a Pound of Gold - by Nate Hagens.pdf,10 Things Worth More Than a Pound of Gold,https://www.thegreatsimplification.com/frankly-original/106-10-things-worth-more-than-a-pound-of-gold,frankly,1.00,exact_frankly_number,591,extraction/substack_text_cache/10 Things Worth More Than a Pound of Gold - by Nate Hagens.txt
11 Discoveries That Changed My Worldview - by Nate Hagens.pdf,11 Discoveries That Changed My Worldview,https://www.thegreatsimplification.com/frankly-original/113-11-discoveries-that-changed-my-worldview,frankly,1.00,exact_frankly_number,878,extraction/substack_text_cache/11 Discoveries That Changed My Worldview - by Nate Hagens.txt
"A Country of Geniuses: Anthropic CEO’s Warnings, Plus Wide-Boundary Considerations on AI.pdf","A Country of Geniuses: Anthropic CEO’s Warnings, Plus Wide-Boundary Considerations on AI",https://www.thegreatsimplification.com/frankly-original/122-a-country-of-geniuses,frankly,1.00,exact_frankly_number,690,"extraction/substack_text_cache/A Country of Geniuses: Anthropic CEO’s Warnings, Plus Wide-Boundary Considerations on AI.txt"
A Guide to Staying Human (Part 2): Navigating Dread and Carrying the Weight of Tomorrow.pdf,A Guide to Staying Human (Part 2): Navigating Dread and Carrying the Weight of Tomorrow,https://www.thegreatsimplification.com/frankly-original/142-a-guide-to-staying-human-part-2,frankly,1.00,exact_frankly_number,863,extraction/substack_text_cache/A Guide to Staying Human (Part 2): Navigating Dread and Carrying the Weight of Tomorrow.txt
A Guide to Staying Human (Part 3): Does Mindfulness Matter When the World Is Breaking Down?.pdf,A Guide to Staying Human (Part 3): The Default Mode Network and the Metacrisis,https://www.thegreatsimplification.com/frankly-original/143-a-guide-to-staying-human-part-3,frankly,1.00,exact_frankly_number,1073,extraction/substack_text_cache/A Guide to Staying Human (Part 3): Does Mindfulness Matter When the World Is Breaking Down?.txt
A Legacy Worth Celebrating? Reflecting on 250 Years of the American Experiment.pdf,A Legacy Worth Celebrating? Reflecting on 250 Years of the American Experiment,https://www.thegreatsimplification.com/frankly-original/149-a-legacy-worth-celebrating,frankly,1.00,exact_frankly_number,710,extraction/substack_text_cache/A Legacy Worth Celebrating? Reflecting on 250 Years of the American Experiment.txt
A Perspective From Lebanon: Who Will We Be When Things Get Hard?.pdf,A Perspective From Lebanon: Who Will We Be When Things Get Hard?,https://www.thegreatsimplification.com/frankly-original/140-a-perspective-from-lebanon,frankly,1.00,exact_frankly_number,767,extraction/substack_text_cache/A Perspective From Lebanon: Who Will We Be When Things Get Hard?.txt
A Word I Can't Seem to Understand: Non-Duality and Our Living World.pdf,A Word I Can’t Seem to Understand: Non-Duality and Our Living World,https://www.thegreatsimplification.com/frankly-original/144-a-word-i-cant-seem-to-understand,frankly,1.00,exact_frankly_number,711,extraction/substack_text_cache/A Word I Can't Seem to Understand: Non-Duality and Our Living World.txt
Ask Nate Anything 2025 - by Nate Hagens.pdf,Ask Nate Anything 2025,https://www.thegreatsimplification.com/frankly-original/100-ask-nate-anything-2025,frankly,1.00,exact_frankly_number,874,extraction/substack_text_cache/Ask Nate Anything 2025 - by Nate Hagens.txt
Behavioral Thermodynamics Part 1: Beyond the 4th Law?.pdf,Behavioral Thermodynamics Part 1: Beyond the 4th Law?,https://www.thegreatsimplification.com/frankly-original/117-behavioral-thermodynamics-part-1,frankly,1.00,exact_frankly_number,911,extraction/substack_text_cache/Behavioral Thermodynamics Part 1: Beyond the 4th Law?.txt
Directional Advice for the (More Than) Human Predicament.pdf,Directional Advice for the (More Than) Human Predicament,https://www.thegreatsimplification.com/frankly-original/114-directional-advice-for-the-more-than-human-predicament,frankly,1.00,exact_frankly_number,626,extraction/substack_text_cache/Directional Advice for the (More Than) Human Predicament.txt
"Ducks and Blueberries: A Reflection on Price, Cost and Value.pdf","Ducks and Blueberries: A Reflection on Price, Cost and Value",https://www.thegreatsimplification.com/frankly-original/104-ducks-and-blueberries,frankly,1.00,exact_frankly_number,803,"extraction/substack_text_cache/Ducks and Blueberries: A Reflection on Price, Cost and Value.txt"
Foundations Before Outcomes: The Future Beneath Your Feet.pdf,Foundations Before Outcomes: The Future Beneath Your Feet,https://www.thegreatsimplification.com/frankly-original/150-foundations-before-outcomes,frankly,1.00,exact_frankly_number,561,extraction/substack_text_cache/Foundations Before Outcomes: The Future Beneath Your Feet.txt
How to Play 5D Chess: It's Not What You Think.pdf,How to Play 5D Chess: It’s Not What You Think,https://www.thegreatsimplification.com/frankly-original/147-how-to-play-5d-chess,frankly,1.00,exact_frankly_number,842,extraction/substack_text_cache/How to Play 5D Chess: It's Not What You Think.txt
How to Think About the Future (Part 1): Changing the Future Starts with How You Think.pdf,How to Think About the Future (Part 1): Changing the Future Starts with How You Think,https://www.thegreatsimplification.com/frankly-original/138-how-to-think-about-the-future-part-1,frankly,1.00,exact_frankly_number,961,extraction/substack_text_cache/How to Think About the Future (Part 1): Changing the Future Starts with How You Think.txt
How to Think About the Future (Part 2): Four Variables Shaping the Coming Decades.pdf,How to Think About the Future (Part 2): Four Variables Shaping the Coming Decades,https://www.thegreatsimplification.com/frankly-original/139-how-to-think-about-the-future-part-2,frankly,1.00,exact_frankly_number,762,extraction/substack_text_cache/How to Think About the Future (Part 2): Four Variables Shaping the Coming Decades.txt
How to Think About the Future (Part 3): Uphill Futures in a Downhill World.pdf,How to Think About the Future (Part 3): Uphill Futures in a Downhill World,https://www.thegreatsimplification.com/frankly-original/145-how-to-think-about-the-future-part-3,frankly,1.00,exact_frankly_number,655,extraction/substack_text_cache/How to Think About the Future (Part 3): Uphill Futures in a Downhill World.txt
"Humanity as Dr. Jekyll & Mr. Hyde: The Symptoms, Patterns, and Drivers.pdf","Humanity as Dr. Jekyll & Mr. Hyde: The Symptoms, Patterns, and Drivers",https://www.thegreatsimplification.com/frankly-original/126-humanity-as-dr-jekyll-and-mr-hyde,frankly,1.00,exact_frankly_number,886,"extraction/substack_text_cache/Humanity as Dr. Jekyll & Mr. Hyde: The Symptoms, Patterns, and Drivers.txt"
"Inflation, Deflation, & Simplification: The 8 Things That Influence Prices.pdf","Inflation, Deflation, & Simplification: The 8 Things That Influence Prices",https://www.thegreatsimplification.com/frankly-original/115-inflation-deflation-and-simplification,frankly,1.00,exact_frankly_number,458,"extraction/substack_text_cache/Inflation, Deflation, & Simplification: The 8 Things That Influence Prices.txt"
"Iran, U.S., and the Rest: The Unavoidable Pig in the Python.pdf","Iran, U.S., and the Rest: The Unavoidable Pig in the Python",https://www.thegreatsimplification.com/frankly-original/133-iran-us-and-the-rest,frankly,1.00,exact_frankly_number,850,"extraction/substack_text_cache/Iran, U.S., and the Rest: The Unavoidable Pig in the Python.txt"
Key Blindspots of the “Walrus” Movement - by Nate Hagens.pdf,Key Blindspots of the “Walrus” Movement,https://www.thegreatsimplification.com/frankly-original/105-key-blindspots-of-the-walrus-movement,frankly,1.00,exact_frankly_number,437,extraction/substack_text_cache/Key Blindspots of the “Walrus” Movement - by Nate Hagens.txt
Mordor to the Long Repair: How Might Daily Life Feel in the Next Decades?.pdf,Mordor to the Long Repair: How Might Daily Life Feel in the Next Decades? | How to Think About the Future Part 4,https://www.thegreatsimplification.com/frankly-original/148-how-to-think-about-the-future-part-4,frankly,1.00,exact_frankly_number,761,extraction/substack_text_cache/Mordor to the Long Repair: How Might Daily Life Feel in the Next Decades?.txt
Oil 101: What You Actually Need to Know About Oil.pdf,The Untold Energy Story: What You Actually Need to Know About Oil,https://www.thegreatsimplification.com/frankly-original/135-oil-101,frankly,1.00,exact_frankly_number,977,extraction/substack_text_cache/Oil 101: What You Actually Need to Know About Oil.txt
Oil 201: What Happens When the Oil Stops Flowing.pdf,Built for Cheap Energy: What Happens When the Oil Stops Flowing,https://www.thegreatsimplification.com/frankly-original/136-oil-201,frankly,1.00,exact_frankly_number,1212,extraction/substack_text_cache/Oil 201: What Happens When the Oil Stops Flowing.txt
Oil 301: The World After Cheap Energy - by Nate Hagens.pdf,Everything is About to Change: The World After Cheap Energy,https://www.thegreatsimplification.com/frankly-original/137-oil-301,frankly,1.00,exact_frankly_number,1128,extraction/substack_text_cache/Oil 301: The World After Cheap Energy - by Nate Hagens.txt
"Peak Oil, Ponzi Pyramids, and Planetary Boundaries.pdf","Peak Oil, Ponzi Pyramids, and Planetary Boundaries",https://www.thegreatsimplification.com/frankly-original/109-peak-oil-ponzi-schemes-and-planetary-boundaries,frankly,1.00,exact_frankly_number,690,"extraction/substack_text_cache/Peak Oil, Ponzi Pyramids, and Planetary Boundaries.txt"
Staying Human (Part 1): Desperately Seeking Agency.pdf,A Guide to Staying Human (Part 1): Desperately Seeking Agency,https://www.thegreatsimplification.com/frankly-original/129-a-guide-to-staying-human-part-1,frankly,1.00,exact_frankly_number,769,extraction/substack_text_cache/Staying Human (Part 1): Desperately Seeking Agency.txt
Sunk Cost and the Superorganism - by Nate Hagens.pdf,Sunk Cost and the Superorganism,https://www.thegreatsimplification.com/frankly-original/116-sunk-cost-and-the-superorganism,frankly,1.00,exact_frankly_number,564,extraction/substack_text_cache/Sunk Cost and the Superorganism - by Nate Hagens.txt
"Technology and Wealth: The Straw, the Siphon, and the Sieve.pdf","Technology and Wealth: The Straw, the Siphon, and the Sieve",https://www.thegreatsimplification.com/frankly-original/119-technology-and-wealth,frankly,1.00,exact_frankly_number,693,"extraction/substack_text_cache/Technology and Wealth: The Straw, the Siphon, and the Sieve.txt"
The Consumption Pyramid - by Nate Hagens.pdf,The Consumption Pyramid,https://www.thegreatsimplification.com/frankly-original/123-the-consumption-pyramid,frankly,1.00,exact_frankly_number,626,extraction/substack_text_cache/The Consumption Pyramid - by Nate Hagens.txt
The Creature in the Machine - by Nate Hagens.pdf,The Creature in the Machine,https://www.thegreatsimplification.com/frankly-original/120-the-creature-in-the-machine,frankly,1.00,exact_frankly_number,785,extraction/substack_text_cache/The Creature in the Machine - by Nate Hagens.txt
The Ghost of Dopamine Past - by Nate Hagens.pdf,The Ghost of Dopamine Past,https://www.thegreatsimplification.com/frankly-original/103-the-ghost-of-dopamine-past,frankly,1.00,exact_frankly_number,604,extraction/substack_text_cache/The Ghost of Dopamine Past - by Nate Hagens.txt
The Influence of Psychopaths: Why Humanity Is Better Than We Think.pdf,The Influence of Psychopaths: Why Humans Are Better Than We Think,https://www.thegreatsimplification.com/frankly-original/108-the-influence-of-psychopaths,frankly,1.00,exact_frankly_number,552,extraction/substack_text_cache/The Influence of Psychopaths: Why Humanity Is Better Than We Think.txt
The Quadruple Bifurcation - by Nate Hagens.pdf,The Quadruple Bifurcation,https://www.thegreatsimplification.com/frankly-original/112-the-quadruple-bifurcation,frankly,1.00,exact_frankly_number,938,extraction/substack_text_cache/The Quadruple Bifurcation - by Nate Hagens.txt
The Things We Take for Granted - by Nate Hagens.pdf,The Things We Take for Granted,https://www.thegreatsimplification.com/frankly-original/118-the-things-we-take-for-granted,frankly,1.00,exact_frankly_number,479,extraction/substack_text_cache/The Things We Take for Granted - by Nate Hagens.txt
The Three Most Important Words We’re Taught Not to Say.pdf,The Three Most Important Words We’re Taught Not to Say,https://www.thegreatsimplification.com/frankly-original/111-the-three-most-important-words,frankly,1.00,exact_frankly_number,576,extraction/substack_text_cache/The Three Most Important Words We’re Taught Not to Say.txt
"This Week's Learnings: Corn Sweat, Coral Bleaching, and the Climate Credit Crunch.pdf","This Week’s Learnings: Corn Sweat, Coral Bleaching, and the Climate Credit Crunch",https://www.thegreatsimplification.com/frankly-original/102-this-weeks-learnings,frankly,1.00,exact_frankly_number,564,"extraction/substack_text_cache/This Week's Learnings: Corn Sweat, Coral Bleaching, and the Climate Credit Crunch.txt"
"This Week's Learnings: Gold Holdings, Political Divides, and the DOE Climate Report.pdf","This Week’s Learnings: Gold Holdings, Political Divides, and the DOE Climate Report",https://www.thegreatsimplification.com/frankly-original/107-this-weeks-learnings,frankly,1.00,exact_frankly_number,496,"extraction/substack_text_cache/This Week's Learnings: Gold Holdings, Political Divides, and the DOE Climate Report.txt"
Ultra-Processed Information: AI and the Coming Deluge of Noise.pdf,Ultra-Processed Information: AI and the Coming Deluge of Noise,https://www.thegreatsimplification.com/frankly-original/128-ultra-processed-information,frankly,1.00,exact_frankly_number,781,extraction/substack_text_cache/Ultra-Processed Information: AI and the Coming Deluge of Noise.txt
Uncomfortable Questions for Unsettled Times: A World at the Edge of Change.pdf,What Does “Winning” Even Mean?: A World at the Edge of Change,https://www.thegreatsimplification.com/frankly-original/134-a-world-at-the-edge-of-change,frankly,1.00,exact_frankly_number,793,extraction/substack_text_cache/Uncomfortable Questions for Unsettled Times: A World at the Edge of Change.txt
Uncomfortable Questions for Unsettled Times: Are You Okay With Nuclear Warfare?.pdf,The Ultimate Alternative: Are You Okay With Nuclear Warfare?,https://www.thegreatsimplification.com/frankly-original/146-uncomfortable-questions-for-unsettled-times-part-4,frankly,1.00,exact_frankly_number,846,extraction/substack_text_cache/Uncomfortable Questions for Unsettled Times: Are You Okay With Nuclear Warfare?.txt
"Uncomfortable Questions in Unsettled Times: Iran Effects, Local Preparedness, and End of Empire?.pdf",Preparing for a More Fragile World: Iran Effects and End of Empire?,https://www.thegreatsimplification.com/frankly-original/131-iran-effects-local-preparedness-and-end-of-empire,frankly,1.00,exact_frankly_number,996,"extraction/substack_text_cache/Uncomfortable Questions in Unsettled Times: Iran Effects, Local Preparedness, and End of Empire?.txt"
Uncomfortable Questions in Unstable Times - by Nate Hagens.pdf,The End of ‘Progress?’: Uncomfortable Questions for Unsettled Times,https://www.thegreatsimplification.com/frankly-original/125-uncomfortable-questions-in-unstable-times,frankly,1.00,exact_frankly_number,1119,extraction/substack_text_cache/Uncomfortable Questions in Unstable Times - by Nate Hagens.txt
What I Want to Want for the Future - by Nate Hagens.pdf,What I Want to Want for the Future,https://www.thegreatsimplification.com/frankly-original/101-what-i-want-to-want-for-the-future,frankly,1.00,exact_frankly_number,693,extraction/substack_text_cache/What I Want to Want for the Future - by Nate Hagens.txt
What Sloths Teach Us About the Superorganism.pdf,What Sloths Teach Us About the Superorganism,https://www.thegreatsimplification.com/frankly-original/110-what-sloths-teach-us-about-the-superorganism,frankly,1.00,exact_frankly_number,608,extraction/substack_text_cache/What Sloths Teach Us About the Superorganism.txt
"Wide Boundary News 5:8:26: Sacrificing Wilderness, Oil Data Propaganda, and Feeding the Superorganism's Brain.pdf","Wide Boundary News: Sacrificing Wilderness, Oil Data Propaganda, and Feeding the Superorganism’s Brain",https://www.thegreatsimplification.com/frankly-original/141-wide-boundary-news-5-8-26,frankly,1.00,exact_frankly_number,672,"extraction/substack_text_cache/Wide Boundary News 5:8:26: Sacrificing Wilderness, Oil Data Propaganda, and Feeding the Superorganism's Brain.txt"
"Wide Boundary News: Biodiversity Depletion, Iran & the Straight of Hormuz, and the Green Wedge.pdf","Wide Boundary News: Biodiversity Depletion, Iran & the Strait of Hormuz, and the Green Wedge",https://www.thegreatsimplification.com/frankly-original/127-wide-boundary-news-2-23-26,frankly,1.00,exact_frankly_number,580,"extraction/substack_text_cache/Wide Boundary News: Biodiversity Depletion, Iran & the Straight of Hormuz, and the Green Wedge.txt"
"Wide Boundary News: Japan, Silver, Venezuela, and More – the Biophysical Phase Shift Cometh.pdf","Wide Boundary News: Japan, Silver, Venezuela, and More – the Biophysical Phase Shift Cometh",https://www.thegreatsimplification.com/frankly-original/121-wide-boundary-news,frankly,1.00,exact_frankly_number,645,"extraction/substack_text_cache/Wide Boundary News: Japan, Silver, Venezuela, and More – the Biophysical Phase Shift Cometh.txt"
"Wide Boundary News: Peak Oil (Not!), Peak Dispatchability, and WEF Risks.pdf","Wide Boundary News: Peak Oil (Not!), Peak Dispatchability, and WEF Risks",https://www.thegreatsimplification.com/frankly-original/124-wide-boundary-news,frankly,1.00,exact_frankly_number,458,"extraction/substack_text_cache/Wide Boundary News: Peak Oil (Not!), Peak Dispatchability, and WEF Risks.txt"
"Wide Boundary News: The Iranian War, Rising Gas Prices, and the Single Point Failure.pdf",,,,frankly_#130_not_found,none,790,"extraction/substack_text_cache/Wide Boundary News: The Iranian War, Rising Gas Prices, and the Single Point Failure.txt"
[Update] What to Do as the World Falls Apart: A Framework for Action.pdf,What to Do as the World Falls Apart: A Framework for Action,https://www.thegreatsimplification.com/frankly-original/132-what-to-do-as-the-world-falls-apart,frankly,1.00,exact_frankly_number,1052,extraction/substack_text_cache/[Update] What to Do as the World Falls Apart: A Framework for Action.txt
